(882.298, 3237.113)
(724.598, 1768.232)
(1557.418, 7944.637)
(1276.238, 1884.021)
(3577.591, 12980.751)
(3085.765, 4767.034)
(8718.832, 11958.759)
(802.392, 1212.629)
(488.061, 1302.538)
(1001.593, 3280.208)
(882.971, 826.429)
(3005.883, 3129.095)
(1050.119, 18608.377)
(65.94, 18.765)
(1175.974, 1424.497)
(9355.627, 40203.37)
(585.986, 297.471)
(9181.257, 4330.795)
(1961.304, 6969.911)
(875.29, 2344.333)
(1398.721, 3908.249)
(2251.922, 9485.13)
(150.54, 28.37)
(1366.42, 3973.794)
(370.249, 4567.163)
(2575.179, 3335.689)
(1382.091, 4101.885)
(1786.853, 8014.649)
(179.096, 20.807)
(4377.837, 8245.337)
(7900.024, 37348.701)
(1487.06, 4149.217)
(494.359, 41.035)
(36.214, 36.83)
(857.466, 1428.485)
(36.936, 37.264)
(648.917, 569.357)
(264.548, 1829.377)
(4289.983, 8188.594)
(21566.955, 8259.788)
(35.099, 147.895)
(11493.979, 5909.057)
(655.471, 2269.021)
(196.797, 98.594)
(8345.717, 40610.689)
(267.051, 37.234)
(9310.518, 4467.422)
(2473.22, 5491.467)
(1472.075, 2012.943)
(1088.64, 3982.996)
(2024.753, 30291.702)
(339.344, 25.255)
(847.043, 3255.452)
(83.429, 143.657)
(1570.706, 4021.951)
(7954.106, 11012.663)
(3642.333, 1796.114)
(2060.196, 283.946)
(1810.958, 4545.068)
(24440.25, 15837.046)
(1502.422, 3399.835)
(4887.893, 13918.099)
(1965.393, 3022.966)
(737.868, 1544.568)
(4761.994, 14329.351)
(208.495, 284.945)
(22328.365, 37441.558)
(3446.33, 6171.214)
(1755.131, 4628.912)
(1531.319, 3403.815)
(3639.241, 6416.991)
(961.038, 1364.784)
(1324.78, 4159.031)
(594.843, 893.401)
(1433.581, 1907.256)
(1650.263, 7927.779)
(4453.286, 5483.543)
(2009.486, 19856.712)
(707.926, 1968.101)
(520.136, 6284.833)
(184.454, 400.9)
(715.846, 1942.243)
(1028.717, 3522.339)
(1086.5, 3903.635)
(2333.466, 777.58)
(1143.887, 3974.131)
(811.797, 14093.958)
(5501.903, 22434.226)
(590.525, 1418.87)
(1569.415, 4537.799)
(943.757, 2414.763)
(1709.294, 8322.478)
(1056.359, 4511.898)
(540.326, 1122.411)
(1139.476, 5341.814)
(5616.787, 22397.65)
(2130.726, 3285.649)
(594.242, 291.906)
