(611.249, 1005.417)
(108.292, 524.518)
(103.526, 524.27)
(570.017, 562.72)
(111.739, 542.94)
(592.85, 1001.397)
(607.777, 681.836)
(595.627, 1014.795)
(103.997, 525.82)
(542.388, 546.608)
(596.038, 1017.048)
(108.053, 525.301)
(118.689, 550.656)
(547.537, 707.865)
(590.101, 1007.002)
(535.082, 548.343)
(119.131, 544.766)
(589.253, 668.058)
(536.178, 545.127)
(539.622, 551.727)
(167.494, 571.897)
(591.442, 1006.634)
(113.745, 524.253)
(629.68, 672.111)
(106.501, 525.367)
(111.258, 526.504)
(577.692, 652.382)
(594.277, 1014.976)
(537.631, 542.972)
(579.003, 557.91)
(543.696, 553.427)
(109.988, 529.904)
(565.648, 557.759)
(553.253, 554.087)
(124.295, 540.253)
(601.561, 1000.446)
(108.408, 90.094)
(289.36, 91.908)
(565.113, 560.422)
(593.675, 1002.081)
(118.761, 541.771)
(186.149, 92.034)
(608.041, 679.165)
(591.875, 1007.401)
(612.088, 1042.671)
(595.348, 1003.542)
(599.968, 1004.894)
(551.381, 774.542)
(136.654, 559.155)
(594.95, 997.994)
(286.431, 94.138)
(583.312, 648.318)
(581.445, 658.965)
(576.165, 965.048)
(101.967, 93.091)
(539.886, 551.19)
(575.17, 964.395)
(107.063, 526.979)
(290.299, 97.945)
(595.108, 994.652)
(570.822, 547.578)
(591.498, 1010.512)
(537.265, 548.321)
(577.025, 972.935)
(105.644, 532.479)
(593.215, 998.923)
(641.482, 1003.298)
(119.961, 576.094)
(215.776, 605.005)
(104.098, 535.026)
(550.07, 552.296)
(124.027, 547.74)
(588.738, 998.966)
(608.691, 996.639)
(282.003, 91.488)
(536.773, 550.927)
(527.182, 546.414)
(113.258, 527.664)
(587.398, 1002.191)
(587.257, 997.989)
(310.646, 93.695)
(635.213, 1006.631)
(536.097, 551.396)
(594.234, 1000.445)
(166.25, 561.528)
(164.729, 567.067)
(594.431, 999.334)
(105.645, 523.224)
(532.634, 544.073)
(123.368, 550.493)
(600.341, 1000.43)
(594.434, 998.233)
(214.565, 597.767)
(127.834, 97.114)
(104.27, 534.349)
(540.804, 547.104)
(104.705, 526.715)
(123.327, 557.883)
(101.446, 525.335)
(111.8, 531.706)
