(164.546, 157.618)
(1057.066, 721.187)
(259.54, 267.451)
(131.354, 129.387)
(22.455, 20.951)
(392.428, 247.504)
(463.476, 184.875)
(365.035, 365.919)
(80.013, 81.222)
(173.137, 171.27)
(450.081, 261.918)
(812.434, 343.109)
(526.979, 461.646)
(603.597, 845.046)
(435.071, 556.704)
(152.013, 157.847)
(111.32, 133.382)
(318.908, 102.009)
(472.612, 122.269)
(145.508, 151.418)
(312.6, 112.352)
(301.501, 294.89)
(747.04, 778.669)
(309.238, 75.391)
(144.971, 70.238)
(152.46, 150.776)
(62.455, 61.405)
(27.5, 38.027)
(129.361, 155.82)
(158.22, 152.512)
(319.281, 153.577)
(149.92, 150.486)
(95.251, 69.252)
(65.472, 69.271)
(443.197, 264.261)
(320.337, 228.904)
(147.807, 39.107)
(420.875, 573.197)
(196.564, 156.382)
(318.365, 157.83)
(107.668, 97.79)
(537.748, 156.201)
(847.632, 199.525)
(491.83, 498.353)
(327.671, 167.545)
(296.854, 299.671)
(67.851, 66.976)
(67.178, 68.081)
(97.755, 70.738)
(430.542, 427.709)
(553.587, 320.657)
(29.472, 27.308)
(34.266, 34.398)
(643.596, 1060.1)
(280.444, 150.724)
(480.152, 188.625)
(508.556, 836.075)
(361.11, 425.33)
(460.481, 465.747)
(620.657, 811.754)
(22.005, 15.97)
(304.128, 88.665)
(300.04, 238.841)
(387.858, 126.949)
(387.078, 213.355)
(173.858, 173.401)
(34.404, 25.092)
(391.216, 445.994)
(312.527, 72.906)
(140.705, 69.54)
(55.87, 54.967)
(311.359, 307.835)
(301.988, 191.795)
(367.4, 380.088)
(226.755, 88.492)
(512.208, 821.185)
(307.566, 133.495)
(38.518, 30.366)
(837.934, 871.701)
(499.229, 469.564)
(53.202, 55.909)
(438.953, 540.454)
(39.088, 37.891)
(495.699, 262.911)
(452.871, 255.11)
(85.497, 83.857)
(131.401, 131.021)
(321.412, 108.749)
(422.194, 417.473)
(87.551, 67.356)
(460.175, 421.932)
(275.486, 284.333)
(21.539, 22.393)
(297.898, 299.586)
(166.924, 168.419)
(430.367, 258.812)
(674.951, 179.634)
(152.099, 148.106)
(128.071, 132.854)
